config,dataset,modelo,mse_original,mse_optimizado,mejora_%,tiempo_optimizador_s,num_features,name,pop_size,crossover_prob,mutation_prob,elitism,complexity_penalty,patience
DiversidadDirigida,California,Lasso,0.5394284335040465,0.4424670859178942,17.974830684453515,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,ElasticNet,0.5396855165189584,0.4429350914983252,17.92718575156249,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,BayesianRidge,0.5408476251390804,0.4435345135326361,17.992703875036874,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,DecisionTree,0.5285224061284108,0.47255167707410844,10.590039023000974,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,RandomForest,0.2542358390056568,0.23388081130465746,8.00635653124675,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,ExtraTrees,0.24862235735083624,0.2614661711856757,-5.165993103635214,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,GradientBoosting,0.28952296442116765,0.2837059068454107,2.0091869352701575,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,AdaBoost,0.819367370085345,0.7351434379151853,10.27914159693556,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,SVR,1.3525489127697103,1.2286089381506096,9.163437525176088,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,MLP,0.6307256030536917,2.220142440295772,-251.9981477756466,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,KNeighbors,1.132222068863644,1.259983705842885,-11.28415003493699,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,California,Huber,0.6273176291227253,0.5135414437191193,18.136934165666084,55.726056814193726,10,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,LinearRegression,2848.3106508475075,2812.338165421018,1.2629410845964473,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,Ridge,3105.4721464484733,2818.537690104253,9.23964031274176,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,Lasso,2846.0124047218987,2801.55858559474,1.5619685653303517,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,ElasticNet,2808.312249539323,2797.2853716934615,0.3926514171517237,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,BayesianRidge,2826.1947991560064,2822.029019291809,0.14739889357383573,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,DecisionTree,5941.7027027027025,4782.828828828829,19.504070328977196,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,RandomForest,3010.1125675675676,2472.9602351351355,17.844925077552766,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,ExtraTrees,2688.987131531531,2679.554754954955,0.3507780482089329,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,GradientBoosting,3184.486512888118,2752.729743372691,13.558128375423772,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,AdaBoost,2996.4916864419347,2799.009624817944,6.590442500392291,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,SVR,4511.870338681655,5029.798147705538,-11.47922635505565,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,MLP,6385.281787954758,3552.9382242637985,44.357377759489225,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,KNeighbors,3060.166486486487,2979.6637837837834,2.630664150404849,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
DiversidadDirigida,Diabetes,Huber,2848.712270747901,2853.6787672469077,-0.1743418087535531,181.38695335388184,20,DiversidadDirigida,50,0.75,0.55,True,0.001,40
SinElitismo,California,LinearRegression,0.5411287478470683,0.462683812013495,14.496538235248801,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,Ridge,0.5410468729073385,0.46264597391719964,14.49059275933864,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
SinElitismo,California,Lasso,0.5394284335040465,0.4614678141299087,14.452449024186064,16.989377975463867,11,SinElitismo,25,0.7,0.35,False,0.001,30
